"Skolaar","Parent Account Name","Account Name","Integration","Active Classes","Active Instructors","Submissions","Similarity Reports","0% Similarity","1-24% Similarity","25-49% Similarity","50-74% Similarity","75-100% Similarity","Submissions with Feedback","Submissions Scored with a Rubric","Total Feedback (Comments and Marks)","Summary Text Comments","Voice Comments","QuickMarks","Bubble Comments","Inline Text Comments","ETS e-rater Marks","Strikethrough Marks","Grading Form Marks","Peer Reviews Created","Skolastig"
"2017-2018","Háskólinn á Bifröst","Bifröst - kennslukerfi","LTI API",10,2,8,8,3,5,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,"Háskólar"
"2018-2019","Háskólinn á Bifröst","Bifröst - kennslukerfi","LTI API",9,7,35,35,6,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2017-2018","Borgarholtsskóli","Borgarholtsskóli","LTI API",2,1,11,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2018-2019","Borgarholtsskóli","Borgarholtsskóli","LTI API",123,74,1188,1308,491,623,134,28,30,515,11,2779,397,1,556,889,802,0,134,0,0,"Framhaldsskólar"
"2019-2020","Borgarholtsskóli","Borgarholtsskóli","LTI API",153,85,1683,1682,439,856,222,105,44,570,8,2735,443,3,352,1271,635,0,31,0,0,"Framhaldsskólar"
"2017-2018","Fjölbrautaskóli Suðurlands","Fjölbrautaskóli Suðurlands","LTI API",4,3,106,123,39,56,20,2,0,1,0,1,1,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2018-2019","Fjölbrautaskóli Suðurlands","Fjölbrautaskóli Suðurlands","LTI API",167,85,2852,3327,1143,1601,341,153,45,195,0,797,174,0,444,106,54,0,19,0,0,"Framhaldsskólar"
"2019-2020","Fjölbrautaskóli Suðurlands","Fjölbrautaskóli Suðurlands","LTI API",228,120,4557,4588,1109,1910,792,493,248,98,13,149,82,0,32,27,2,0,6,0,0,"Framhaldsskólar"
"2018-2019","Fjölbrautaskóli Suðurnesja","Fjölbrautaskóli Suðurnesja","LTI API",15,5,145,145,79,55,9,1,1,38,0,301,0,0,0,21,234,0,46,0,0,"Framhaldsskólar"
"2019-2020","Fjölbrautaskóli Suðurnesja","Fjölbrautaskóli Suðurnesja","LTI API",92,42,1509,1792,343,964,244,110,117,60,53,56,5,0,3,17,30,0,1,0,0,"Framhaldsskólar"
"2018-2019","Fjölbrautaskóli Vesturlands","Fjölbrautaskóli Vesturlands","LTI API",67,41,510,635,120,395,76,27,10,345,34,1921,174,0,646,1084,17,0,0,0,1,"Framhaldsskólar"
"2019-2020","Fjölbrautaskóli Vesturlands","Fjölbrautaskóli Vesturlands","LTI API",97,63,929,1336,189,751,254,97,39,568,123,4796,296,0,1151,2665,681,0,3,0,0,"Framhaldsskólar"
"2018-2019","Fjölbrautaskólinn í Breiðholti","Fjölbrautaskólinn í Breiðholti","LTI API",15,9,139,139,33,87,19,0,0,63,0,720,50,0,0,666,0,0,4,0,0,"Framhaldsskólar"
"2019-2020","Fjölbrautaskólinn í Breiðholti","Fjölbrautaskólinn í Breiðholti","LTI API",104,50,796,802,65,635,73,18,10,205,0,1756,175,0,349,1232,0,0,0,0,0,"Framhaldsskólar"
"2016-2017","Fjölbrautaskólinn í Garðabæ","Fjölbrautaskólinn í Garðabæ","LTI API",674,130,3792,3762,1105,1424,627,408,157,1686,1103,8052,328,0,287,4488,1036,1833,80,0,0,"Framhaldsskólar"
"2017-2018","Fjölbrautaskólinn í Garðabæ","Fjölbrautaskólinn í Garðabæ","LTI API",543,155,7192,7185,2014,2832,1127,849,288,3644,1955,18204,798,0,2453,9876,876,4001,197,3,0,"Framhaldsskólar"
"2018-2019","Fjölbrautaskólinn í Garðabæ","Fjölbrautaskólinn í Garðabæ","LTI API",475,171,6184,7233,2403,3228,961,439,154,3153,2014,17800,676,0,3626,7254,3140,1428,1676,0,0,"Framhaldsskólar"
"2019-2020","Fjölbrautaskólinn í Garðabæ","Fjölbrautaskólinn í Garðabæ","LTI API",420,161,7410,7695,1927,3529,1136,660,337,3804,1876,20667,1100,31,2964,8715,2225,5316,316,0,9,"Framhaldsskólar"
"2018-2019","Flensborgarskólinn í Hafnarfirði","Flensborgarskólinn í Hafnarfirði","LTI API",105,54,1209,1606,441,663,380,86,24,413,0,2125,276,0,38,1720,9,0,82,0,0,"Framhaldsskólar"
"2019-2020","Flensborgarskólinn í Hafnarfirði","Flensborgarskólinn í Hafnarfirði","LTI API",158,82,2225,2924,699,1017,699,373,115,613,76,3134,356,0,1110,1299,259,0,110,0,0,"Framhaldsskólar"
"2017-2018","Framhaldsskólinn í Mosfellsbæ","Framhaldsskólinn í Mosfellsbæ","LTI API",6,3,58,64,46,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2018-2019","Framhaldsskólinn í Mosfellsbæ","Framhaldsskólinn í Mosfellsbæ","LTI API",162,75,2725,2934,1114,1287,324,95,77,549,23,6569,468,1,4477,1543,21,0,59,0,0,"Framhaldsskólar"
"2019-2020","Framhaldsskólinn í Mosfellsbæ","Framhaldsskólinn í Mosfellsbæ","LTI API",134,70,3099,3099,552,1334,703,395,97,337,31,3769,261,39,2692,670,2,0,105,0,0,"Framhaldsskólar"
"2017-2018","Framhaldsskólinn í Vestmannaeyjum","Framhaldsskólinn í Vestmannaeyjum","LTI API",3,2,43,65,6,5,15,16,23,28,0,87,27,0,0,60,0,0,0,0,0,"Framhaldsskólar"
"2018-2019","Framhaldsskólinn í Vestmannaeyjum","Framhaldsskólinn í Vestmannaeyjum","LTI API",40,28,406,491,185,256,29,12,3,231,0,1632,224,0,2,1191,123,0,92,0,0,"Framhaldsskólar"
"2019-2020","Framhaldsskólinn í Vestmannaeyjum","Framhaldsskólinn í Vestmannaeyjum","LTI API",45,38,321,336,24,215,74,10,6,106,6,619,21,0,56,230,182,0,130,0,0,"Framhaldsskólar"
"2019-2020","Háskóli Íslands","Háskóli Íslands","LTI API",181,54,1698,2264,402,1452,228,36,56,34,0,1010,20,0,15,42,3,930,0,0,0,"Háskólar"
"2018-2019","Háskólinn á Akureyri","Háskólinn á Akureyri","LTI API",0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2019-2020","Háskólinn á Akureyri","Háskólinn á Akureyri","LTI API",24,32,1444,1639,290,913,246,155,34,491,414,4227,306,2,680,2928,0,0,303,8,0,"Háskólar"
"2016-2017","Háskólinn í Reykjavík","Háskólinn í Reykjavík","LTI API",8,6,222,246,18,142,68,1,12,1,0,2,0,0,1,1,0,0,0,0,0,"Háskólar"
"2017-2018","Háskólinn í Reykjavík","Háskólinn í Reykjavík","LTI API",62,68,2442,2998,167,1997,717,80,22,307,252,1104,30,7,327,609,10,0,5,116,118,"Háskólar"
"2018-2019","Háskólinn í Reykjavík","Háskólinn í Reykjavík","LTI API",62,103,3157,3605,149,2089,1038,210,29,321,222,3392,40,2,1807,862,0,8,5,668,87,"Háskólar"
"2019-2020","Háskólinn í Reykjavík","Háskólinn í Reykjavík","LTI API",39,38,4390,5687,667,3168,1372,331,61,1139,903,8783,263,0,2468,548,129,4545,27,803,180,"Háskólar"
"2017-2018","Kvennaskólinn í Reykjavík","Kvennaskólinn í Reykjavík","LTI API",13,3,8,16,0,8,4,2,2,3,1,2,1,0,0,1,0,0,0,0,0,"Framhaldsskólar"
"2018-2019","Kvennaskólinn í Reykjavík","Kvennaskólinn í Reykjavík","LTI API",53,28,579,654,209,387,45,12,1,394,155,6702,222,0,1337,681,790,3255,106,311,0,"Framhaldsskólar"
"2019-2020","Kvennaskólinn í Reykjavík","Kvennaskólinn í Reykjavík","LTI API",147,62,2509,2753,485,1004,537,491,210,552,161,8992,334,1,2686,1684,233,3918,136,0,0,"Framhaldsskólar"
"2018-2019","Listaháskóli Íslands","Listaháskóli Íslands","LTI API",5,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,"Háskólar"
"2019-2020","Listaháskóli Íslands","Listaháskóli Íslands","LTI API",2,2,108,108,2,97,6,1,1,1,0,1,0,0,0,1,0,0,0,0,0,"Háskólar"
"2018-2019","Menntaskólinn í Reykjavík","Menntaskólinn í Reykjavík","LTI API",25,9,338,372,214,147,6,3,2,1,0,1,0,0,0,1,0,0,0,0,0,"Framhaldsskólar"
"2019-2020","Menntaskólinn í Reykjavík","Menntaskólinn í Reykjavík","LTI API",91,28,1253,1331,410,739,97,62,20,110,16,2222,74,0,0,1410,230,0,508,0,0,"Framhaldsskólar"
"2017-2018","Menntaskólinn við Hamrahlíð","Menntaskólinn við Hamrahlíð","LTI API",2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2018-2019","Menntaskólinn við Hamrahlíð","Menntaskólinn við Hamrahlíð","LTI API",233,110,1969,2171,635,1364,126,24,11,449,229,7927,262,0,3404,1775,291,1817,355,23,1,"Framhaldsskólar"
"2019-2020","Menntaskólinn við Hamrahlíð","Menntaskólinn við Hamrahlíð","LTI API",464,200,5364,5633,1192,2652,722,849,175,2117,559,26390,1539,13,6711,3928,2980,9016,1321,882,0,"Framhaldsskólar"
"2017-2018","Menntaskólinn við Sund","Menntaskólinn við Sund","LTI API",17,2,4,4,1,0,2,0,0,1,0,14,2,0,7,1,0,4,0,0,0,"Framhaldsskólar"
