"Skolaar","Parent Account Name","Account Name","Integration","Active Classes","Active Instructors","Submissions","Similarity Reports","0% Similarity","1-24% Similarity","25-49% Similarity","50-74% Similarity","75-100% Similarity","Submissions with Feedback","Submissions Scored with a Rubric","Total Feedback (Comments and Marks)","Summary Text Comments","Voice Comments","QuickMarks","Bubble Comments","Inline Text Comments","ETS e-rater Marks","Strikethrough Marks","Grading Form Marks","Peer Reviews Created","Skolastig"
"2018-2019","Menntaskóli Borgarfjarðar","Menntaskóli Borgarfjarðar","Moodle Direct",19,33,179,210,133,61,7,3,1,66,1,96,61,5,16,7,2,0,5,0,0,"Framhaldsskólar"
"2019-2020","Menntaskóli Borgarfjarðar","Menntaskóli Borgarfjarðar","Moodle Direct",3,2,51,53,35,14,2,2,0,21,0,21,21,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2019-2020","Keilir - Center of Excellence","menntaskolinn","Moodle Direct",11,31,306,374,175,167,16,10,5,152,149,1094,1,0,0,641,452,0,0,0,0,""
"2017-2018","Menntaskólinn á Akureyri","Menntaskólinn á Akureyri","Moodle Direct",2,5,10,7,2,4,0,0,1,2,0,2,0,0,0,2,0,0,0,0,0,"Framhaldsskólar"
"2018-2019","Menntaskólinn á Akureyri","Menntaskólinn á Akureyri","Moodle Direct",64,98,999,1560,105,1296,101,20,24,402,98,8427,201,37,2617,2240,1912,0,1420,0,0,"Framhaldsskólar"
"2019-2020","Menntaskólinn á Akureyri","Menntaskólinn á Akureyri","Moodle Direct",83,145,2869,4663,1548,2514,440,58,79,1537,154,23236,898,25,7941,6273,5016,0,2933,150,0,"Framhaldsskólar"
"2017-2018","Menntaskólinn á Ísafirði","Menntaskólinn á Ísafirði","Moodle Direct",3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2018-2019","Menntaskólinn á Ísafirði","Menntaskólinn á Ísafirði","Moodle Direct",88,33,2572,2453,1137,982,204,59,64,1208,444,3565,469,8,1531,1384,0,0,173,0,0,"Framhaldsskólar"
"2019-2020","Menntaskólinn á Ísafirði","Menntaskólinn á Ísafirði","Moodle Direct",71,42,3797,3699,1207,1489,473,173,311,1304,867,3057,501,3,1854,696,0,0,3,0,0,"Framhaldsskólar"
"2017-2018","Menntaskólinn á Tröllaskaga","Menntaskólinn á Tröllaskaga","Moodle Direct",11,24,187,169,127,35,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2018-2019","Menntaskólinn á Tröllaskaga","Menntaskólinn á Tröllaskaga","Moodle Direct",55,94,2788,5545,3402,1599,416,96,20,1593,0,22752,1394,0,6811,2074,6430,0,6043,0,0,"Framhaldsskólar"
"2019-2020","Menntaskólinn á Tröllaskaga","Menntaskólinn á Tröllaskaga","Moodle Direct",11,35,1367,2233,823,918,373,102,14,1007,0,13217,860,0,4402,1589,3232,0,3134,0,0,"Framhaldsskólar"
"2014-2015","Menntaskólinn að Laugarvatni","Menntaskólinn að Laugarvatni","Moodle Direct",20,13,147,145,54,75,9,1,5,89,17,1107,67,0,208,474,193,0,165,0,0,"Framhaldsskólar"
"2015-2016","Menntaskólinn að Laugarvatni","Menntaskólinn að Laugarvatni","Moodle Direct",156,64,1825,1751,891,663,113,53,23,820,102,4241,315,0,1104,2657,60,0,105,0,0,"Framhaldsskólar"
"2016-2017","Menntaskólinn að Laugarvatni","Menntaskólinn að Laugarvatni","Moodle Direct",94,48,1425,1586,429,551,185,241,174,251,57,1203,43,0,432,728,0,0,0,0,0,"Framhaldsskólar"
"2017-2018","Menntaskólinn að Laugarvatni","Menntaskólinn að Laugarvatni","Moodle Direct",105,61,1158,1014,371,514,64,33,28,603,107,5695,105,0,1147,2320,1625,0,498,0,0,"Framhaldsskólar"
"2018-2019","Menntaskólinn að Laugarvatni","Menntaskólinn að Laugarvatni","Moodle Direct",122,71,2490,2181,751,1174,129,46,30,1171,380,9620,462,0,1570,3555,2748,0,1282,3,0,"Framhaldsskólar"
"2019-2020","Menntaskólinn að Laugarvatni","Menntaskólinn að Laugarvatni","Moodle Direct",121,78,3399,3128,715,1678,340,229,107,2101,634,15854,1179,0,3237,7405,1764,0,2269,0,0,"Framhaldsskólar"
