"Skolaar","Parent.Account.Name","Account.Name","Skolastig","Active.classes","Submissions","Similarity.Reports","X0..Similarity","X1.24..Similarity","X25.49..Similarity","X50.74..Similarity","X75.100..Similarity","Submissions.with.Feedback","Submissions.Scored.with.a.Rubric","Total.Feedback..Comments.and.Marks.","Summary.Text.Comments","Voice.Comments","QuickMarks","Bubble.Comments","Inline.Text.Comments","ETS.e.rater.Marks","Strikethrough.Marks","Grading.Form.Marks","Peer.Reviews.Created"
"2017-2018","Menntaskólinn að Laugarvatni","Menntaskólinn að Laugarvatni","Framhaldsskólar",20,1019,855,270,477,55,29,24,540,68,4275,98,0,445,2197,1130,0,405,0,0
"2018-2019","Menntaskólinn að Laugarvatni","Menntaskólinn að Laugarvatni","Framhaldsskólar",35,2257,1956,710,1032,109,34,71,1100,380,9026,446,0,1422,3294,2623,0,1241,0,0
"2019-2020","Menntaskólinn að Laugarvatni","Menntaskólinn að Laugarvatni","Framhaldsskólar",34,2580,2433,498,1312,273,195,152,1670,396,11689,1028,0,2420,6191,654,0,1396,0,0
"2017-2018","Menntaskólinn í Kópavogi","Menntaskólinn í Kópavogi","Framhaldsskólar",1,51,51,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-2019","Menntaskólinn í Kópavogi","Menntaskólinn í Kópavogi","Framhaldsskólar",29,1785,2178,652,919,298,188,121,250,9,1385,123,0,725,308,195,0,34,0,0
"2019-2020","Menntaskólinn í Kópavogi","Menntaskólinn í Kópavogi","Framhaldsskólar",10,711,863,253,306,167,87,37,96,0,219,92,0,8,116,0,0,3,0,0
"2018-2019","Menntaskólinn í Reykjavík","Menntaskólinn í Reykjavík","Framhaldsskólar",4,294,323,191,124,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"2019-2020","Menntaskólinn í Reykjavík","Menntaskólinn í Reykjavík","Framhaldsskólar",4,957,1035,344,541,86,48,14,34,0,34,34,0,0,0,0,0,0,0,0
"2018-2019","Menntaskólinn við Hamrahlíð","Menntaskólinn við Hamrahlíð","Framhaldsskólar",60,1848,2012,616,1245,112,20,19,420,229,6878,249,0,3263,1647,266,1076,354,23,0
"2019-2020","Menntaskólinn við Hamrahlíð","Menntaskólinn við Hamrahlíð","Framhaldsskólar",110,5064,5311,1156,2465,680,819,170,1967,539,23522,1475,13,6027,3601,2122,8173,1235,876,0
"2017-2018","Menntaskólinn við Sund","Menntaskólinn við Sund","Framhaldsskólar",3,275,275,58,158,31,10,18,11,0,51,7,0,0,44,0,0,0,0,0
"2018-2019","Menntaskólinn við Sund","Menntaskólinn við Sund","Framhaldsskólar",31,2909,3578,916,1775,565,117,205,1093,230,7999,439,0,2583,1504,2107,637,729,0,10
"2019-2020","Menntaskólinn við Sund","Menntaskólinn við Sund","Framhaldsskólar",34,5209,7135,1127,3450,1440,599,459,1410,423,6079,512,0,2046,1765,1475,0,138,143,0
"2018-2019","Tækniskólinn","Tækniskólinn","Framhaldsskólar",5,211,334,106,189,30,3,6,189,50,3391,220,0,182,182,4,2790,13,0,0
"2019-2020","Tækniskólinn","Tækniskólinn","Framhaldsskólar",3,80,151,34,76,25,10,6,64,0,1272,94,0,16,37,3,1116,6,0,0
"2017-2018","Verkmenntaskóli Austurlands","Verkmenntaskóli Austurlands","Framhaldsskólar",1,17,17,1,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018-2019","Verkmenntaskóli Austurlands","Verkmenntaskóli Austurlands","Framhaldsskólar",55,2536,2143,518,1051,336,178,60,1092,444,7172,488,16,1051,4167,534,0,632,284,0
"2019-2020","Verkmenntaskóli Austurlands","Verkmenntaskóli Austurlands","Framhaldsskólar",30,1435,1351,351,653,188,125,32,720,240,3147,446,0,341,1353,635,0,372,0,0
"2017-2018","Verkmenntaskólinn á Akureyri","Verkmenntaskólinn á Akureyri","Framhaldsskólar",4,124,155,18,119,6,3,9,34,0,360,13,1,25,303,2,0,16,0,1
"2018-2019","Verkmenntaskólinn á Akureyri","Verkmenntaskólinn á Akureyri","Framhaldsskólar",22,1241,1279,179,726,186,69,119,436,237,5874,46,0,3962,1673,186,0,7,0,0
"2019-2020","Verkmenntaskólinn á Akureyri","Verkmenntaskólinn á Akureyri","Framhaldsskólar",36,2387,2704,246,1125,475,402,431,1366,760,11161,74,0,7490,2139,1248,0,210,0,0
"2012-2013","Verzlunarskóli Íslands","Verzlunarskóli Íslands","Framhaldsskólar",30,1298,1298,452,671,111,33,31,370,44,11076,133,0,3453,840,6650,0,0,0,0
"2013-2014","Verzlunarskóli Íslands","Verzlunarskóli Íslands","Framhaldsskólar",89,6817,6812,4130,2230,215,86,151,1533,48,23773,548,0,7586,3279,12360,0,0,0,0
"2014-2015","Verzlunarskóli Íslands","Verzlunarskóli Íslands","Framhaldsskólar",103,5983,5980,3192,2274,309,77,128,1558,45,23963,605,0,8725,2789,11844,0,0,0,0
"2015-2016","Verzlunarskóli Íslands","Verzlunarskóli Íslands","Framhaldsskólar",97,6204,6194,2991,2837,206,64,96,1307,40,13965,436,0,6262,1471,5796,0,0,0,0
"2016-2017","Verzlunarskóli Íslands","Verzlunarskóli Íslands","Framhaldsskólar",76,5751,6086,2922,2735,228,45,156,1086,0,8281,225,0,3513,836,3707,0,0,0,0
"2017-2018","Verzlunarskóli Íslands","Verzlunarskóli Íslands","Framhaldsskólar",87,4101,5376,1952,2996,191,50,187,966,59,5591,344,0,2495,59,2522,0,171,0,0
"2018-2019","Verzlunarskóli Íslands","Verzlunarskóli Íslands","Framhaldsskólar",111,3709,4539,1900,2313,171,45,110,263,0,1610,171,0,734,173,490,0,42,0,0
"2019-2020","Verzlunarskóli Íslands","Verzlunarskóli Íslands","Framhaldsskólar",146,6430,7567,1995,4024,858,442,217,601,0,3113,389,0,1159,350,1213,0,2,0,0
"2011-2012","Háskólinn á Bifröst","Bifröst - kennslukerfi","Háskólar",2,23,23,1,10,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0
"2012-2013","Háskólinn á Bifröst","Bifröst - kennslukerfi","Háskólar",3,99,99,28,43,24,4,0,1,0,1,0,0,0,1,0,0,0,0,0
