"Skolaar","Skolastig","Parent Account Name","Account Name","Active Instructors","Submissions","Similarity Reports","0% Similarity","1-24% Similarity","25-49% Similarity","50-74% Similarity","75-100% Similarity","Total Feedback (Comments and Marks)","Summary Text Comments","Voice Comments","QuickMarks","Bubble Comments","Inline Text Comments","ETS e-rater Marks","Strikethrough Marks","Grading Form Marks","Peer Reviews Created"
"2013-2014","Annað","Hólabrekkuskóli","Hólabrekkuskóli",1,66,66,32,31,1,0,0,18,6,1,1,10,0,0,0,0,0
"2014-2015","Annað","Hólabrekkuskóli","Hólabrekkuskóli",7,473,456,333,78,18,7,12,426,60,0,25,307,34,0,0,0,0
"2015-2016","Annað","Hólabrekkuskóli","Hólabrekkuskóli",14,1149,1145,624,381,46,51,40,526,17,0,33,476,0,0,0,0,0
"2016-2017","Annað","Hólabrekkuskóli","Hólabrekkuskóli",6,331,453,274,146,18,11,4,244,26,0,8,210,0,0,0,0,0
"2017-2018","Annað","Hólabrekkuskóli","Hólabrekkuskóli",4,27,63,51,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011-2012","Háskólar","Háskóli Íslands","Hugvísindasvið",1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2012-2013","Háskólar","Háskóli Íslands","Hugvísindasvið",7,92,92,7,76,8,0,0,1,0,0,1,0,0,0,0,0,0
"2013-2014","Háskólar","Háskóli Íslands","Hugvísindasvið",4,102,102,6,81,6,1,0,0,0,0,0,0,0,0,0,0,0
"2014-2015","Háskólar","Háskóli Íslands","Hugvísindasvið",8,493,493,29,416,13,6,19,186,0,0,1,185,0,0,0,0,0
"2015-2016","Háskólar","Háskóli Íslands","Hugvísindasvið",7,129,111,9,88,6,1,4,15,0,0,0,5,10,0,0,0,0
"2016-2017","Háskólar","Háskóli Íslands","Hugvísindasvið",9,89,103,1,81,10,5,3,0,0,0,0,0,0,0,0,0,0
"2017-2018","Háskólar","Háskóli Íslands","Hugvísindasvið",8,188,254,3,205,41,2,2,0,0,0,0,0,0,0,0,0,0
"2018-2019","Háskólar","Háskóli Íslands","Hugvísindasvið",9,271,309,29,242,26,1,4,1,0,0,0,1,0,0,0,0,0
"2019-2020","Háskólar","Háskóli Íslands","Hugvísindasvið",11,173,233,20,183,20,2,6,508,4,0,9,29,0,466,0,0,0
"2012-2013","Háskólar","Háskólinn í Reykjavík","Íþróttafræði",1,62,63,2,56,3,0,0,0,0,0,0,0,0,0,0,0,0
"2013-2014","Háskólar","Háskólinn í Reykjavík","Íþróttafræði",1,88,94,1,84,3,0,6,0,0,0,0,0,0,0,0,0,0
"2014-2015","Háskólar","Háskólinn í Reykjavík","Íþróttafræði",2,119,124,0,116,4,0,2,2,0,0,2,0,0,0,0,0,0
"2015-2016","Háskólar","Háskólinn í Reykjavík","Íþróttafræði",2,317,291,14,262,10,1,3,0,0,0,0,0,0,0,0,0,0
"2016-2017","Háskólar","Háskólinn í Reykjavík","Íþróttafræði",2,206,309,12,263,9,3,20,0,0,0,0,0,0,0,0,0,0
"2017-2018","Háskólar","Háskólinn í Reykjavík","Íþróttafræði",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017-2018","Annað","Keilir - Center of Excellence","Keilir - Center of Excellence",8,1575,1725,398,960,210,85,42,1201,585,0,130,408,33,0,38,7,0
"2018-2019","Annað","Keilir - Center of Excellence","Keilir - Center of Excellence",5,327,475,67,357,29,13,8,989,61,0,406,212,277,6,27,0,0
"2019-2020","Annað","Keilir - Center of Excellence","Keilir - Center of Excellence",13,940,1547,1019,332,146,32,18,294,80,0,76,126,0,0,12,0,0
"2011-2012","Háskólar","Háskóli Íslands","Kennslumálanefnd",1,7,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2012-2013","Háskólar","Háskóli Íslands","Kennslumiðstöð",1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013-2014","Háskólar","Háskóli Íslands","Kennslumiðstöð",1,42,34,0,16,4,4,9,0,0,0,0,0,0,0,0,0,0
"2014-2015","Háskólar","Háskóli Íslands","Kennslumiðstöð",1,21,26,4,13,3,1,2,4,0,1,1,1,1,0,0,0,0
"2015-2016","Háskólar","Háskóli Íslands","Kennslumiðstöð",1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2016-2017","Háskólar","Háskóli Íslands","Kennslumiðstöð",1,5,10,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0
"2012-2013","Háskólar","Háskóli Íslands","Kennslusvið",1,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
